address	pmid	latitude	longitude
Qinghai Provincial Cultural Relics and Archaeology Institute, Xining, China.	38507661	36.62554	101.7574
Shaanxi Academy of Archaeology, Xi'an, China.	38507661	34.25833	108.9286
School of Archaeology and Museology, Shanxi University, Taiyuan, China.	38507661	37.86944	112.5603
School of Ecological and Environmental Sciences, East China Normal University, Shanghai, China.	38507661	31.22222	121.4581
University of the Chinese Academy of Sciences, Beijing, China.	38507661	39.90750	116.3972
Science and Technology Archaeology, National Centre for Archaeology, Beijing, China.	38507661	39.90750	116.3972
Joint International Research Laboratory of Environmental and Social Archaeology, Shandong University, Qingdao, China.	38507661	36.06488	120.3804
State Key Laboratory of Biocontrol and Guangdong Provincial Key Laboratory of Plant Resources, School of Life Sciences, Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Sun Yat-sen University, Guangzhou, China.	38507653	NA	NA
School of Ecology, Sun Yat-sen University, Shenzhen, China.	38507653	22.54554	114.06830
Institute of Wetland Research, Hainan Academy of Forestry (Hainan Academy of Mangrove), Haikou, China.	38507653	20.03421	110.34651
Population Genomics Group, Department of Veterinary Sciences, LMU Munich, Martinsried 82152, Germany.	38507648	48.10892	 11.45193
Département de biochimie, de microbiologie, et de bio-informatique, Faculté des sciences et de génie, Université Laval, Québec City, Canada.	38489607	45.56095	-73.6809
Institut de Biologie Intégrative et des Systèmes (IBIS), Pavillon Charles-Eugène-Marchand, Université Laval, Quebec City, Canada.	38489607	45.56095	-73.6809
Groupe de recherche en écologie buccale, Faculté de médecine dentaire, Université Laval, Québec City, Canada.	38489607	45.56095	-73.6809
Department of Microbiology & Immunology, Faculty of Medicine and Health Sciences, McGill University, Montreal, Quebec, Canada.	38489607	45.50887	-73.55424
Félix d'Hérelle Reference Center for Bacterial Viruses, Université Laval, Québec City, Canada.	38489607	45.56095	-73.68090
Chengdu Institute of Biology, Chinese Academy of Sciences, 610041 Chengdu, Sichuan, China.	38466135	30.66667	104.06667
College of Life Sciences, China Jiliang University, Hangzhou, China.	38466135	29.43370	118.75141
Department of Integrative Biology, University of Guelph, Guelph, ON N1G2W1, Canada.	38466135	43.53197	-80.22481
Department of Genetics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.	38466119	39.95168	-75.20323
Department of Computational Biology, Cornell University, Ithaca, NY, USA.	38466119	42.44823	-76.4605
Department of Biochemistry and Molecular Biology, University of Georgia, Athens, GA, USA.	38442736	33.95741	-83.3768
Institute of Bioinformatics, University of Georgia, Athens, GA, USA.	38442736	33.95741	-83.3768
Department of Genetics, University of Georgia, Athens, GA, USA.	38442736	33.95741	-83.37680
GeoBio-Center, Ludwig-Maximilians-Universität München, Richard-Wagner-Str. 10, Munich 80333, Germany.	38437512	48.14761	 11.56363
Department of Earth and Environmental Sciences, Paleontology & Geobiology, Ludwig-Maximilians-Universität München, Richard-Wagner-Str. 10, Munich 80333, Germany.	38437512	48.14761	 11.56363
Center for Computation & Technology, Louisiana State University, Baton Rouge, LA 70803, USA.	38437512	30.40963	 -91.18012
Present address: Division of Research, Innovation, and Impact & Department of Veterinary Pathobiology, University of Missouri, Columbia, MO 65211, USA.	38437512	38.93463	 -92.34229
School of Life Sciences, University of Hawai'i at Mānoa, Honolulu, HI 96822, USA.	38437512	21.30056	-157.81770
Department of Biological Sciences and Museum of Natural Science, Louisiana State University, Baton Rouge, LA 70803, USA.	38437512	30.41146	-91.18792
School of Zoology, Faculty of Life Sciences, Tel Aviv University, Tel Aviv, Israel.	38427813	32.07358	 34.78805
School of Computer Science, Reichman University, Herzliya, Israel.	38427813	32.16486	 34.84417
Department of Microbiology and Immunology, University of Minnesota Medical School, Minneapolis, MN, USA.	38427813	44.97851	-93.22447
Department of Molecular Genetics, Weizmann Institute of Science, Rehovot, Israel.	38427813	31.90341	 34.80683
Institute of Biochemistry, Food Science and Nutrition, Robert H. Smith Faculty of Agriculture, Food and Environment, The Hebrew University of Jerusalem, Rehovot, Israel.	38427813	31.90341	 34.80683
Department of Biomedical Science and Engineering, Konkuk University, Seoul 05029, Republic of Korea.	38427787	37.56600	126.9784
State Key Laboratory of Developmental Biology of Freshwater Fish, College of Life Sciences, Hunan Normal University, Changsha 410081, China.	38421617	30.99997	108.3046
College of Life Sciences, Hunan Normal University, Changsha 410081, China.	38421617	30.99997	108.3046
Integrative Science Center of Germplasm Creation in Western China (CHONGQING) Science City, Key Laboratory of Freshwater Fish Reproduction and Development (Ministry of Education), Key Laboratory of Aquatic Science of Chongqing, School of Life Sciences, Southwest University, Chongqing 400715, China.	38421617	NA	NA
Institute of Reproductive and Stem Cell Engineering, NHC Key Laboratory of Human Stem Cell and Reproductive Engineering, School of Basic Medical Sciences, Central South University, Changsha 410078, China.	38421617	NA	NA
